BEEID,CNUM,CHOICE,SYM,LOWNUM,HIGHNUM,SHAPE
1,1,1,S,4,8,STAR
1,2,1,S,4,8,STAR
1,3,0,S,4,6,TRIANGLE
1,4,1,S,4,6,TRIANGLE
1,5,0,S,4,6,TRIANGLE
1,6,0,S,4,6,TRIANGLE
1,7,1,S,4,6,TRIANGLE
1,8,1,S,4,6,TRIANGLE
1,9,1,S,4,6,CIRCLE
1,10,1,S,4,6,CIRCLE
1,11,1,S,6,8,TRIANGLE
1,12,0,S,6,8,TRIANGLE
1,13,0,S,6,8,TRIANGLE
1,14,1,S,8,10,SQUARE
1,15,0,S,8,10,SQUARE
1,16,1,S,8,10,STAR
1,17,0,S,8,10,STAR
1,18,1,S,8,10,STAR
1,19,0,S,6,10,TRIANGLE
1,20,1,S,6,10,TRIANGLE
1,21,1,S,6,10,TRIANGLE
1,22,1,S,4,10,SQUARE
1,23,1,S,4,10,SQUARE
1,24,1,S,4,10,SQUARE
1,25,1,S,4,10,SQUARE
1,26,1,S,4,10,SQUARE
1,27,0,S,4,6,STAR
1,28,1,S,4,6,STAR
1,29,1,S,4,6,STAR
1,30,0,S,6,8,CIRCLE
1,31,0,S,6,8,CIRCLE
1,32,1,S,6,10,SQUARE
1,33,0,S,6,10,SQUARE
1,34,1,S,6,10,SQUARE
1,35,1,S,4,6,STAR
1,36,1,S,4,6,STAR
1,37,0,S,4,6,STAR
1,38,1,S,8,10,CIRCLE
1,39,1,S,8,10,CIRCLE
1,40,1,S,8,10,CIRCLE
1,41,0,S,8,10,CIRCLE
1,42,0,S,6,8,TRIANGLE
1,43,1,S,6,8,TRIANGLE
1,44,1,S,6,8,TRIANGLE
1,45,0,S,6,8,TRIANGLE
1,46,1,S,6,10,STAR
1,47,1,S,6,10,STAR
1,48,1,S,6,10,STAR
1,49,1,S,8,10,CIRCLE
1,50,1,S,8,10,CIRCLE
1,51,0,S,8,10,CIRCLE
1,52,1,S,4,6,SQUARE
1,53,0,S,4,6,SQUARE
1,54,1,S,6,8,CIRCLE
1,55,1,S,6,8,CIRCLE
1,56,1,S,6,8,CIRCLE
1,57,0,S,6,8,CIRCLE
1,58,0,S,4,10,TRIANGLE
1,59,0,S,4,10,TRIANGLE
1,60,1,S,4,10,TRIANGLE
1,61,1,S,4,10,TRIANGLE
1,62,1,S,6,8,STAR
1,63,1,S,6,8,STAR
1,64,1,S,6,8,STAR
1,65,1,S,4,8,CIRCLE
1,66,1,S,4,8,CIRCLE
1,67,1,S,4,8,CIRCLE
1,68,1,S,6,8,STAR
1,69,0,S,6,8,STAR
1,70,1,S,6,8,STAR
1,71,0,S,6,8,STAR
